					decimal inputs									binary inputs									with leading zeros									
"{"""", ""6TACCL"", 0x0108, U32L, RO, CSX, "" 66 Last Acceleration Motor 6"" },"	.		0		1	264	0	0	0	0	3	0		0001	100001000	0	0	0	0	11	0		0001	0000000000000000000100001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010000100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TVELL"", 0x010C, U32L, RO, CSX, "" 67 Last Velocity Motor 6"" },"	.		0		1	268	0	0	0	0	3	0		0001	100001100	0	0	0	0	11	0		0001	0000000000000000000100001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010000110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TSTPL"", 0x0110, U32L, RO, CSX, "" 68 Last Steps Motor 6"" },"	.		0		1	272	0	0	0	0	3	0		0001	100010000	0	0	0	0	11	0		0001	0000000000000000000100010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010001000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TACCL"", 0x0114, U32L, RO, CSX, "" 69 Last Acceleration Motor 7"" },"	.		0		1	276	0	0	0	0	3	0		0001	100010100	0	0	0	0	11	0		0001	0000000000000000000100010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010001010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TVELL"", 0x0118, U32L, RO, CSX, "" 70 Last Velocity Motor 7"" },"	.		0		1	280	0	0	0	0	3	0		0001	100011000	0	0	0	0	11	0		0001	0000000000000000000100011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010001100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TSTPL"", 0x011C, U32L, RO, CSX, "" 71 Last Steps Motor 7"" },"	.		0		1	284	0	0	0	0	3	0		0001	100011100	0	0	0	0	11	0		0001	0000000000000000000100011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010001110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TACCL"", 0x0120, U32L, RO, CSX, "" 72 Last Acceleration Motor 8"" },"	.		0		1	288	0	0	0	0	3	0		0001	100100000	0	0	0	0	11	0		0001	0000000000000000000100100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010010000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TVELL"", 0x0124, U32L, RO, CSX, "" 73 Last Velocity Motor 8"" },"	.		0		1	292	0	0	0	0	3	0		0001	100100100	0	0	0	0	11	0		0001	0000000000000000000100100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010010010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TSTPL"", 0x0128, U32L, RO, CSX, "" 74 Last Steps Motor 8"" },"	.		0		1	296	0	0	0	0	3	0		0001	100101000	0	0	0	0	11	0		0001	0000000000000000000100101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010010100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""XTTMP"",  0x012C, U16, RO, CSX, "" 75 Board Temperature"" },"	.		0		1	300	0	0	0	0	3	0		0001	100101100	0	0	0	0	11	0		0001	0000000000000000000100101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010010110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""XTHRT"",  0x012E, U16, RO, CXX, "" 76 HRT Interface Version"" },"	.		0		1	304	0	0	0	0	3	0		0001	100110000	0	0	0	0	11	0		0001	0000000000000000000100110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010011000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TCDETA"", 0x0130, S32L, RO, CSX, "" 77 Detune Angle Cavity 1"" },"	.		0		1	308	0	0	0	0	3	0		0001	100110100	0	0	0	0	11	0		0001	0000000000000000000100110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010011010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TCDETA"", 0x0134, S32L, RO, CSX, "" 78 Detune Angle Cavity 2"" },"	.		0		1	312	0	0	0	0	3	0		0001	100111000	0	0	0	0	11	0		0001	0000000000000000000100111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010011100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TCDETA"", 0x0138, S32L, RO, CSX, "" 79 Detune Angle Cavity 3"" },"	.		0		1	316	0	0	0	0	3	0		0001	100111100	0	0	0	0	11	0		0001	0000000000000000000100111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010011110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TCDETA"", 0x013C, S32L, RO, CSX, "" 80 Detune Angle Cavity 4"" },"	.		0		1	320	0	0	0	0	3	0		0001	101000000	0	0	0	0	11	0		0001	0000000000000000000101000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010100000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TCDETA"", 0x0140, S32L, RO, CSX, "" 81 Detune Angle Cavity 5"" },"	.		0		1	324	0	0	0	0	3	0		0001	101000100	0	0	0	0	11	0		0001	0000000000000000000101000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010100010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TCDETA"", 0x0144, S32L, RO, CSX, "" 82 Detune Angle Cavity 6"" },"	.		0		1	328	0	0	0	0	3	0		0001	101001000	0	0	0	0	11	0		0001	0000000000000000000101001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010100100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TCDETA"", 0x0148, S32L, RO, CSX, "" 83 Detune Angle Cavity 7"" },"	.		0		1	332	0	0	0	0	3	0		0001	101001100	0	0	0	0	11	0		0001	0000000000000000000101001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010100110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TCDETA"", 0x014C, S32L, RO, CSX, "" 84 Detune Angle Cavity 8"" },"	.		0		1	336	0	0	0	0	3	0		0001	101010000	0	0	0	0	11	0		0001	0000000000000000000101010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010101000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TDISC"", 0x0150, S32L, RO, CSX, "" 85 Discriminator Cavity 1"" },"	.		0		1	340	0	0	0	0	3	0		0001	101010100	0	0	0	0	11	0		0001	0000000000000000000101010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010101010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TDISC"", 0x0154, S32L, RO, CSX, "" 86 Discriminator Cavity 2"" },"	.		0		1	344	0	0	0	0	3	0		0001	101011000	0	0	0	0	11	0		0001	0000000000000000000101011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010101100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TDISC"", 0x0158, S32L, RO, CSX, "" 87 Discriminator Cavity 3"" },"	.		0		1	348	0	0	0	0	3	0		0001	101011100	0	0	0	0	11	0		0001	0000000000000000000101011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010101110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TDISC"", 0x015C, S32L, RO, CSX, "" 88 Discriminator Cavity 4"" },"	.		0		1	352	0	0	0	0	3	0		0001	101100000	0	0	0	0	11	0		0001	0000000000000000000101100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010110000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TDISC"", 0x0160, S32L, RO, CSX, "" 89 Discriminator Cavity 5"" },"	.		0		1	356	0	0	0	0	3	0		0001	101100100	0	0	0	0	11	0		0001	0000000000000000000101100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010110010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TDISC"", 0x0164, S32L, RO, CSX, "" 90 Discriminator Cavity 6"" },"	.		0		1	360	0	0	0	0	3	0		0001	101101000	0	0	0	0	11	0		0001	0000000000000000000101101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010110100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TDISC"", 0x0168, S32L, RO, CSX, "" 91 Discriminator Cavity 7"" },"	.		0		1	364	0	0	0	0	3	0		0001	101101100	0	0	0	0	11	0		0001	0000000000000000000101101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010110110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TDISC"", 0x016C, S32L, RO, CSX, "" 92 Discriminator Cavity 8"" },"	.		0		1	368	0	0	0	0	3	0		0001	101110000	0	0	0	0	11	0		0001	0000000000000000000101110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010111000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TSTPHZ"", 0x0170, U32L, RW, CSX, "" 93 Steps per Hz cavity 1"" },"	.		0		0	372	0	0	0	0	3	0		0000	101110100	0	0	0	0	11	0		0000	0000000000000000000101110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000010111010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TSTPHZ"", 0x0174, U32L, RW, CSX, "" 94 Steps per Hz cavity 2"" },"	.		0		0	376	0	0	0	0	3	0		0000	101111000	0	0	0	0	11	0		0000	0000000000000000000101111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000010111100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TSTPHZ"", 0x0178, U32L, RW, CSX, "" 95 Steps per Hz cavity 3"" },"	.		0		0	380	0	0	0	0	3	0		0000	101111100	0	0	0	0	11	0		0000	0000000000000000000101111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000010111110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TSTPHZ"", 0x017C, U32L, RW, CSX, "" 96 Steps per Hz cavity 4"" },"	.		0		0	384	0	0	0	0	3	0		0000	110000000	0	0	0	0	11	0		0000	0000000000000000000110000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TSTPHZ"", 0x0180, U32L, RW, CSX, "" 97 Steps per Hz cavity 5"" },"	.		0		0	388	0	0	0	0	3	0		0000	110000100	0	0	0	0	11	0		0000	0000000000000000000110000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011000010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TSTPHZ"", 0x0184, U32L, RW, CSX, "" 98 Steps per Hz cavity 6"" },"	.		0		0	392	0	0	0	0	3	0		0000	110001000	0	0	0	0	11	0		0000	0000000000000000000110001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011000100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TSTPHZ"", 0x0188, U32L, RW, CSX, "" 99 Steps per Hz cavity 7"" },"	.		0		0	396	0	0	0	0	3	0		0000	110001100	0	0	0	0	11	0		0000	0000000000000000000110001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011000110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TSTPHZ"", 0x018C, U32L, RW, CSX, ""100 Steps per Hz cavity 8"" },"	.		0		0	400	0	0	0	0	3	0		0000	110010000	0	0	0	0	11	0		0000	0000000000000000000110010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011001000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TDETAHI"", 0x0190, U32L, RW, CSX, ""101 Detune Angle High Limit cavity 1"" },"	.		0		0	404	0	0	0	0	3	0		0000	110010100	0	0	0	0	11	0		0000	0000000000000000000110010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011001010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TDETAHI"", 0x0194, U32L, RW, CSX, ""102 Detune Angle High Limit cavity 2"" },"	.		0		0	408	0	0	0	0	3	0		0000	110011000	0	0	0	0	11	0		0000	0000000000000000000110011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011001100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TDETAHI"", 0x0198, U32L, RW, CSX, ""103 Detune Angle High Limit cavity 3"" },"	.		0		0	412	0	0	0	0	3	0		0000	110011100	0	0	0	0	11	0		0000	0000000000000000000110011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011001110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TDETAHI"", 0x019C, U32L, RW, CSX, ""104 Detune Angle High Limit cavity 4"" },"	.		0		0	416	0	0	0	0	3	0		0000	110100000	0	0	0	0	11	0		0000	0000000000000000000110100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011010000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TDETAHI"", 0x01A0, U32L, RW, CSX, ""105 Detune Angle High Limit cavity 5"" },"	.		0		0	420	0	0	0	0	3	0		0000	110100100	0	0	0	0	11	0		0000	0000000000000000000110100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011010010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TDETAHI"", 0x01A4, U32L, RW, CSX, ""106 Detune Angle High Limit cavity 6"" },"	.		0		0	424	0	0	0	0	3	0		0000	110101000	0	0	0	0	11	0		0000	0000000000000000000110101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011010100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TDETAHI"", 0x01A8, U32L, RW, CSX, ""107 Detune Angle High Limit cavity 7"" },"	.		0		0	428	0	0	0	0	3	0		0000	110101100	0	0	0	0	11	0		0000	0000000000000000000110101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011010110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TDETAHI"", 0x01AC, U32L, RW, CSX, ""108 Detune Angle High Limit cavity 8"" },"	.		0		0	432	0	0	0	0	3	0		0000	110110000	0	0	0	0	11	0		0000	0000000000000000000110110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011011000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TDETALO"", 0x01B0, U32L, RW, CSX, ""109 Detune Angle Low Limit cavity 1"" },"	.		0		0	436	0	0	0	0	3	0		0000	110110100	0	0	0	0	11	0		0000	0000000000000000000110110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011011010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TDETALO"", 0x01B4, U32L, RW, CSX, ""110 Detune Angle Low Limit cavity 2"" },"	.		0		0	440	0	0	0	0	3	0		0000	110111000	0	0	0	0	11	0		0000	0000000000000000000110111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011011100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TDETALO"", 0x01B8, U32L, RW, CSX, ""111 Detune Angle Low Limit cavity 3"" },"	.		0		0	444	0	0	0	0	3	0		0000	110111100	0	0	0	0	11	0		0000	0000000000000000000110111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011011110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TDETALO"", 0x01BC, U32L, RW, CSX, ""112 Detune Angle Low Limit cavity 4"" },"	.		0		0	448	0	0	0	0	3	0		0000	111000000	0	0	0	0	11	0		0000	0000000000000000000111000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011100000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TDETALO"", 0x01C0, U32L, RW, CSX, ""113 Detune Angle Low Limit cavity 5"" },"	.		0		0	452	0	0	0	0	3	0		0000	111000100	0	0	0	0	11	0		0000	0000000000000000000111000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011100010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TDETALO"", 0x01C4, U32L, RW, CSX, ""114 Detune Angle Low Limit cavity 6"" },"	.		0		0	456	0	0	0	0	3	0		0000	111001000	0	0	0	0	11	0		0000	0000000000000000000111001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011100100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TDETALO"", 0x01C8, U32L, RW, CSX, ""115 Detune Angle Low Limit cavity 7"" },"	.		0		0	460	0	0	0	0	3	0		0000	111001100	0	0	0	0	11	0		0000	0000000000000000000111001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011100110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TDETALO"", 0x01CC, U32L, RW, CSX, ""116 Detune Angle Low Limit cavity 8"" },"	.		0		0	464	0	0	0	0	3	0		0000	111010000	0	0	0	0	11	0		0000	0000000000000000000111010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011101000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TDISCHI"", 0x01D0, U32L, RW, CSX, ""117 Discriminator High Limit Cavity 1"" },"	.		0		0	468	0	0	0	0	3	0		0000	111010100	0	0	0	0	11	0		0000	0000000000000000000111010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011101010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TDISCHI"", 0x01D4, U32L, RW, CSX, ""118 Discriminator High Limit Cavity 2"" },"	.		0		0	472	0	0	0	0	3	0		0000	111011000	0	0	0	0	11	0		0000	0000000000000000000111011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011101100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TDISCHI"", 0x01D8, U32L, RW, CSX, ""119 Discriminator High Limit Cavity 3"" },"	.		0		0	476	0	0	0	0	3	0		0000	111011100	0	0	0	0	11	0		0000	0000000000000000000111011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011101110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TDISCHI"", 0x01DC, U32L, RW, CSX, ""120 Discriminator High Limit Cavity 4"" },"	.		0		0	480	0	0	0	0	3	0		0000	111100000	0	0	0	0	11	0		0000	0000000000000000000111100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011110000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TDISCHI"", 0x01E0, U32L, RW, CSX, ""121 Discriminator High Limit Cavity 5"" },"	.		0		0	484	0	0	0	0	3	0		0000	111100100	0	0	0	0	11	0		0000	0000000000000000000111100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011110010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TDISCHI"", 0x01E4, U32L, RW, CSX, ""122 Discriminator High Limit Cavity 6"" },"	.		0		0	488	0	0	0	0	3	0		0000	111101000	0	0	0	0	11	0		0000	0000000000000000000111101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011110100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TDISCHI"", 0x01E8, U32L, RW, CSX, ""123 Discriminator High Limit Cavity 7"" },"	.		0		0	492	0	0	0	0	3	0		0000	111101100	0	0	0	0	11	0		0000	0000000000000000000111101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011110110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TDISCHI"", 0x01EC, U32L, RW, CSX, ""124 Discriminator High Limit Cavity 8"" },"	.		0		0	496	0	0	0	0	3	0		0000	111110000	0	0	0	0	11	0		0000	0000000000000000000111110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011111000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TDISCLO"", 0x01F0, U32L, RW, CSX, ""125 Discriminator Low Limit Cavity 1"" },"	.		0		0	500	0	0	0	0	3	0		0000	111110100	0	0	0	0	11	0		0000	0000000000000000000111110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011111010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TDISCLO"", 0x01F4, U32L, RW, CSX, ""126 Discriminator Low Limit Cavity 2"" },"	.		0		0	504	0	0	0	0	3	0		0000	111111000	0	0	0	0	11	0		0000	0000000000000000000111111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011111100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TDISCLO"", 0x01F8, U32L, RW, CSX, ""127 Discriminator Low Limit Cavity 3"" },"	.		0		0	508	0	0	0	0	3	0		0000	111111100	0	0	0	0	11	0		0000	0000000000000000000111111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000011111110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TDISCLO"", 0x01FC, U32L, RW, CSX, ""128 Discriminator Low Limit Cavity 4"" },"	.		0		0	512	0	0	0	0	3	0		0000	1000000000	0	0	0	0	11	0		0000	0000000000000000001000000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TDISCLO"", 0x0200, U32L, RW, CSX, ""129 Discriminator Low Limit Cavity 5"" },"	.		0		0	516	0	0	0	0	3	0		0000	1000000100	0	0	0	0	11	0		0000	0000000000000000001000000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100000010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TDISCLO"", 0x0204, U32L, RW, CSX, ""130 Discriminator Low Limit Cavity 6"" },"	.		0		0	520	0	0	0	0	3	0		0000	1000001000	0	0	0	0	11	0		0000	0000000000000000001000001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100000100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TDISCLO"", 0x0208, U32L, RW, CSX, ""131 Discriminator Low Limit Cavity 7"" },"	.		0		0	524	0	0	0	0	3	0		0000	1000001100	0	0	0	0	11	0		0000	0000000000000000001000001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100000110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TDISCLO"", 0x020C, U32L, RW, CSX, ""132 Discriminator Low Limit Cavity 8"" },"	.		0		0	528	0	0	0	0	3	0		0000	1000010000	0	0	0	0	11	0		0000	0000000000000000001000010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100001000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""XTEPCSA"", 0x0210, U32L, RW, CXX, ""133 EPCS address"" },"	.		0		0	532	0	0	0	0	3	0		0000	1000010100	0	0	0	0	11	0		0000	0000000000000000001000010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100001010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""XTEPCSD"", 0x0214, U32L, RW, CXX, ""134 EPCS data"" },"	.		0		0	536	0	0	0	0	3	0		0000	1000011000	0	0	0	0	11	0		0000	0000000000000000001000011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100001100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""XTEPCSR"", 0x0218, U32L, RO, CXX, ""135 EPCS read data"" },"	.		0		1	540	0	0	0	0	3	0		0001	1000011100	0	0	0	0	11	0		0001	0000000000000000001000011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100001110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TSGNSTP"", 0x021C, S32L, RO, CSX, ""136 Signed steps motor 1"" },"	.		0		1	544	0	0	0	0	3	0		0001	1000100000	0	0	0	0	11	0		0001	0000000000000000001000100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100010000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TSGNSTP"", 0x0220, S32L, RO, CSX, ""137 Signed steps motor 2"" },"	.		0		1	548	0	0	0	0	3	0		0001	1000100100	0	0	0	0	11	0		0001	0000000000000000001000100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100010010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TSGNSTP"", 0x0224, S32L, RO, CSX, ""138 Signed steps motor 3"" },"	.		0		1	552	0	0	0	0	3	0		0001	1000101000	0	0	0	0	11	0		0001	0000000000000000001000101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100010100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
